ms,ms_name_en,cci,programme_title_short,status,version,last_adoption_date_ecms,priority_code,priority_name,policy_objective_short_name,policy_objective_code,policy_objective_name,specific_objective_short_name,specific_objective_code,specific_objective_name,dimension_type,category_title_short,category_code,category_name,fund,category_of_region,cofinancing_rate,eu_amount,total_amount,climate_weighting,eu_climate_amount,total_climate_amount,environmental_weighting,eu_environmental_amount,total_environmental_amount,biodiversity_weighting,eu_biodiversity_amount,total_biodiversity_amount,gender_weighting,eu_gender_amount,total_gender_amount,clean_air_weighting,eu_clean_air_amount,total_clean_air_amount,digital_weighting,eu_amount_digital,total_amount_digital,sustainable_urban_development,territorial_tool,territory_type,un_sdg_tracking,jtf_themes,priority_type_code,priority_type_description
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,1 European integrated border management,1,European integrated border management,Intervention Field,SO1.007 Technical and operational measures within Schengen area,SO1.007,Technical and operational measures within the Schengen area which are related to border control,BMVI,BMVI,0.9015722379,7126630.15,7904669.03,,,,,,,,,,,,,,,,,,,,,,,,,
AT,Austria,2021AT65ISPR001,Austria - ISF,Adopted by EC,2.0,2023-06-19,,,PO1 Security,1,Security,3 Preventing and combating crime,3,Preventing and combating crime,Type of Action ISF,"SO3.002 Networks, centres of excell., coop. structures, ...",SO3.002,"Networks, centres of excellence, cooperation structures, joint actions and operations",ISF,ISF,0.8481225506,971000.0,1144881.71,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Germany,2021DE16RFPR011,Thuringen - DE - ERDF,Adopted by EC,2.1,2023-03-07,6,Nachhaltige und Integrierte Stadtentwicklung,PO5 Europe closer to citizens,5,Europe closer to citizens,RSO5.1 Integrated development in urban areas,RSO5.1,Integrated development in urban areas,Gender Equality,03 Gender neutral,03,Gender neutral,ERDF,Transition,0.599999999,115675894.0,192793156.99,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,
DE,Germany,2021DE16RFPR011,Thuringen - DE - ERDF,Adopted by EC,2.1,2023-03-07,1,"Starkung von Forschung, technologischer Entwicklung und Innovation",PO1 Smarter Europe,1,Smarter Europe,RSO1.1 Enhancing research and innovation,RSO1.1,Enhancing research and innovation,Form of Support,01 grant,01,Grant,ERDF,Transition,0.6,361000000.0,601666666.67,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,1 European integrated border management,1,European integrated border management,Intervention Field,SO1.001 Border checks,SO1.001,Border checks,BMVI,BMVI,0.9015722379,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,1 European integrated border management,1,European integrated border management,Intervention Field,SO1.015 Inter-agency cooperation - national level,SO1.015,Inter-agency cooperation - national level,BMVI,BMVI,0.9015722379,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Germany,2021DE16RFPR011,Thuringen - DE - ERDF,Adopted by EC,2.1,2023-03-07,3,Verringerung der CO2-Emission,PO2 Greener Europe,2,Greener Europe,RSO2.1 Energy efficiency,RSO2.1,Energy efficiency,Gender Equality,03 Gender neutral,03,Gender neutral,ERDF,Transition,0.6,152160000.0,253600000.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,1 European integrated border management,1,European integrated border management,Intervention Field,SO1.005 Border surveillance - automated border surveillance systems,SO1.005,Border surveillance - automated border surveillance systems,BMVI,BMVI,0.9015722379,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,
AT,Austria,2021AT65ISPR001,Austria - ISF,Adopted by EC,2.0,2023-06-19,,,PO1 Security,1,Security,1 Exchange of information,1,Exchange of information,Type of Action ISF,SO1.008 Equipment,SO1.008,Equipment,ISF,ISF,0.7709219792,360000.0,466973.33,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,1 European integrated border management,1,European integrated border management,Intervention Field,SO1.010 Processing of data and information,SO1.010,Processing of data and information,BMVI,BMVI,0.9015722379,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,
CY,Cyprus,2021CY65BVPR001,Cyprus - BMVI,Adopted by EC (TF Proposed),1.2,2023-01-23,,,PO1 Borders and visa,1,Borders and visa,1 European integrated border management,1,European integrated border management,Intervention Field,SO1.013 Measures for identi. of persons for internat. protection,SO1.013,"Measures related to the identification and referral of persons who are in need of, or wish to apply for, international protection",BMVI,BMVI,0.8214677101,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,1 European integrated border management,1,European integrated border management,Intervention Field,SO1.020 Large-scale IT systems - Entry/Exit System (EES),SO1.020,Large-scale IT systems  -  Entry-exit System (EES),BMVI,BMVI,0.9015722379,7047379.46,7816766.27,,,,,,,,,,,,,,,,1.0,7047379.46,7816766.27,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,2 Common visa policy,2,Common visa policy,Intervention Field,SO2.005 Consular coverage,SO2.005,Consular coverage,BMVI,BMVI,0.8742649244,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,1 European integrated border management,1,European integrated border management,Intervention Field,SO1.013 Measures for identi. of persons for internat. protection,SO1.013,"Measures related to the identification and referral of persons who are in need of, or wish to apply for, international protection",BMVI,BMVI,0.9015722379,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
AT,Austria,2021AT65ISPR001,Austria - ISF,Adopted by EC,2.0,2023-06-19,,,PO1 Security,1,Security,2 Cross-border cooperation,2,Cross-border cooperation,Type of Action ISF,"SO2.006 Exchange of BP, conferences,comm. activities ...",SO2.006,"Exchange of best practices, workshops, conferences, events, awareness-raising campaigns, communication activities",ISF,ISF,0.8675523214,1058800.0,1220445.12,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Germany,2021DE16RFPR011,Thuringen - DE - ERDF,Adopted by EC,2.1,2023-03-07,4,"Anpassung an den Klimawandel, Risikopravention und Katastrophenresilienz",PO2 Greener Europe,2,Greener Europe,RSO2.4 Climate change adaptation,RSO2.4,Climate change adaptation,Gender Equality,03 Gender neutral,03,Gender neutral,ERDF,Transition,0.6,155540000.0,259233333.33,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,1 European integrated border management,1,European integrated border management,Intervention Field,SO1.003 Border surveillance - land equipment,SO1.003,Border surveillance - land equipment,BMVI,BMVI,0.9015722379,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Germany,2021DE16RFPR011,Thuringen - DE - ERDF,Adopted by EC,2.1,2023-03-07,2,Starkung des Wachstums und der Wettbewerbsfahigkeit von KMU,PO1 Smarter Europe,1,Smarter Europe,RSO1.3 Growth and competitiveness of SMEs,RSO1.3,Growth and competitiveness of SMEs,Form of Support,01 grant,01,Grant,ERDF,Transition,0.6,108000000.0,180000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Germany,2021DE16RFPR011,Thuringen - DE - ERDF,Adopted by EC,2.1,2023-03-07,2,Starkung des Wachstums und der Wettbewerbsfahigkeit von KMU,PO1 Smarter Europe,1,Smarter Europe,RSO1.3 Growth and competitiveness of SMEs,RSO1.3,Growth and competitiveness of SMEs,Form of Support,03 Financial instruments: loan,03,Support through financial instruments: loan,ERDF,Transition,0.6,58223131.0,97038551.67,,,,,,,,,,,,,,,,,,,,,,,,,
AT,Austria,2021AT65ISPR001,Austria - ISF,Adopted by EC,2.0,2023-06-19,,,PO1 Security,1,Security,3 Preventing and combating crime,3,Preventing and combating crime,Type of Action ISF,SO3.005 Training,SO3.005,Training,ISF,ISF,0.8481225506,1977750.0,2331915.36,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,2 Common visa policy,2,Common visa policy,Intervention Field,SO2.012 Data quality and data subjects' rights to information,SO2.012,"Data quality and data subjects' rights to information, access to, rectification and erasure of, their personal data, and to the restriction of the processing thereof",BMVI,BMVI,0.8742649244,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,
DE,Germany,2021DE16RFPR011,Thuringen - DE - ERDF,Adopted by EC,2.1,2023-03-07,2,Starkung des Wachstums und der Wettbewerbsfahigkeit von KMU,PO1 Smarter Europe,1,Smarter Europe,RSO1.3 Growth and competitiveness of SMEs,RSO1.3,Growth and competitiveness of SMEs,Form of Support,02 Financial instruments: equity or quasi-equity,02,Support through financial instruments: equity or quasi-equity,ERDF,Transition,0.6,33000000.0,55000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,2 Common visa policy,2,Common visa policy,Intervention Field,SO2.008 Operating support - Common visa policy,SO2.008,Operating support - Common visa policy,BMVI,BMVI,0.8742649244,2562912.78,2931505.9,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,1 European integrated border management,1,European integrated border management,Intervention Field,SO1.021 Large-scale IT systems - (ETIAS) - others,SO1.021,Large-scale IT systems  -  European Travel Information and Authorisation System (ETIAS) - others,BMVI,BMVI,0.9015722379,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,
DE,Germany,2021DE16RFPR011,Thuringen - DE - ERDF,Adopted by EC,2.1,2023-03-07,2,Starkung des Wachstums und der Wettbewerbsfahigkeit von KMU,PO1 Smarter Europe,1,Smarter Europe,RSO1.3 Growth and competitiveness of SMEs,RSO1.3,Growth and competitiveness of SMEs,Territorial delivery mechanism / territorial focus,33 Other approaches: No territorial targeting,33,Other  approaches - No territorial targeting,ERDF,Transition,0.6,199223131.0,332038551.67,,,,,,,,,,,,,,,,,,,Non-SUD,Other approaches,No territorial targeting,,,,
AT,Austria,2021AT65ISPR001,Austria - ISF,Adopted by EC,2.0,2023-06-19,,,PO1 Security,1,Security,TA.36(5) Technical assistance - flat rate (Art. 36(5) CPR),TA.36(5),Technical assistance - flat rate (Art. 36(5) CPR),Intervention Field,TA.36(5).037 Capacity building,TA.36(5).037,Capacity building,ISF,ISF,1.0,416802.33,416802.33,,,,,,,,,,,,,,,,,,,,,,,,,
AT,Austria,2021AT65ISPR001,Austria - ISF,Adopted by EC,2.0,2023-06-19,,,PO1 Security,1,Security,1 Exchange of information,1,Exchange of information,Type of Action ISF,SO1.009 Means of transport,SO1.009,Means of transport,ISF,ISF,0.7709219792,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,2 Common visa policy,2,Common visa policy,Intervention Field,SO2.001 Improving visa application processing,SO2.001,Improving visa application processing,BMVI,BMVI,0.8742649244,4478007.12,5122025.37,,,,,,,,,,,,,,,,,,,,,,,,,
AT,Austria,2021AT65ISPR001,Austria - ISF,Adopted by EC,2.0,2023-06-19,,,PO1 Security,1,Security,2 Cross-border cooperation,2,Cross-border cooperation,Type of Action ISF,SO2.009 Means of transport,SO2.009,Means of transport,ISF,ISF,0.8675523214,118000.0,136014.85,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,1 European integrated border management,1,European integrated border management,Intervention Field,SO1.028 Operating support - Special Transit Scheme,SO1.028,Operating support - Special Transit Scheme,BMVI,BMVI,0.9015722379,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Germany,2021DE16RFPR011,Thuringen - DE - ERDF,Adopted by EC,2.1,2023-03-07,3,Verringerung der CO2-Emission,PO2 Greener Europe,2,Greener Europe,RSO2.1 Energy efficiency,RSO2.1,Energy efficiency,Form of Support,01 grant,01,Grant,ERDF,Transition,0.6,152160000.0,253600000.0,,,,,,,,,,,,,,,,,,,,,,,,,
AT,Austria,2021AT65ISPR001,Austria - ISF,Adopted by EC,2.0,2023-06-19,,,PO1 Security,1,Security,3 Preventing and combating crime,3,Preventing and combating crime,Type of Action ISF,SO3.008 Equipment,SO3.008,Equipment,ISF,ISF,0.8481225506,2557625.0,3015631.41,,,,,,,,,,,,,,,,,,,,,,,,,
AT,Austria,2021AT65ISPR001,Austria - ISF,Adopted by EC,2.0,2023-06-19,,,PO1 Security,1,Security,1 Exchange of information,1,Exchange of information,Type of Action ISF,"SO1.001 ICT systems, interoperability, data quality",SO1.001,"ICT systems, interoperability, data quality (excluding equipment)",ISF,ISF,0.7709219792,3681000.0,4774802.25,,,,,,,,,,,,,,,,1.0,3681000.0,4774802.25,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,1 European integrated border management,1,European integrated border management,Intervention Field,SO1.026 Operating support - Integrated border management,SO1.026,Operating support - Integrated border management,BMVI,BMVI,0.9015722379,5344369.17,5927832.45,,,,,,,,,,,,,,,,,,,,,,,,,
TC,Interreg,2021TC16RFCB015,Interreg VI-A - Sweden-Norway,Adopted by EC,1.3,2022-09-23,1,EN SMARTARE GRANSREGION MED FORBATTRAD INNOVATIONSKAPACITET OCH KONKURRENSKRAFTIGA SMA OCH MEDELSTORA FORETAG,PO1 Smarter Europe,1,Smarter Europe,RSO1.1 Enhancing research and innovation,RSO1.1,Enhancing research and innovation,Territorial delivery mechanism / territorial focus,33 Other approaches: No territorial targeting,33,Other  approaches - No territorial targeting,Interreg Funds,Interreg Funds,0.6537305184,11941600.0,18266854.1,,,,,,,,,,,,,,,,,,,Non-SUD,Other approaches,No territorial targeting,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,TA.36(5) Technical assistance - flat rate (Art. 36(5) CPR),TA.36(5),Technical assistance - flat rate (Art. 36(5) CPR),Intervention Field,"TA.36(5).002 Preparation, implementation, monitoring and control",TA.36(5).002,"Preparation, implementation, monitoring and control",BMVI,BMVI,1.0,4198362.31,4198362.31,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,TA.36(5) Technical assistance - flat rate (Art. 36(5) CPR),TA.36(5),Technical assistance - flat rate (Art. 36(5) CPR),Intervention Field,TA.36(5).004 Capacity building,TA.36(5).004,Capacity building,BMVI,BMVI,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,TA.36(5) Technical assistance - flat rate (Art. 36(5) CPR),TA.36(5),Technical assistance - flat rate (Art. 36(5) CPR),Intervention Field,TA.36(5).001 Information and communication,TA.36(5).001,Information and communication,BMVI,BMVI,1.0,132579.86,132579.86,,,,,,,,,,,,,,,,,,,,,,,,,
CZ,Czechia,2021CZ16JTPR001,Just Transition - CZ - JTF,Adopted by EC,1.3,2022-09-27,1,Priorita Karlovarsky kraj,PO8 JTF specific objective,8,JTF specific objective,JSO8.1 Just Transition Fund,JSO8.1,Just Transition Fund,Territorial delivery mechanism / territorial focus,33 Other approaches: No territorial targeting,33,Other  approaches - No territorial targeting,JTF,JTF,0.8499999959,241102345.0,283649819.02,,,,,,,,,,,,,,,,,,,Non-SUD,Other approaches,No territorial targeting,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,1 European integrated border management,1,European integrated border management,Intervention Field,SO1.004 Border surveillance - maritime equipment,SO1.004,Border surveillance - maritime equipment,BMVI,BMVI,0.9015722379,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,1 European integrated border management,1,European integrated border management,Intervention Field,SO1.027 Operating support-Large IT systems for border management,SO1.027,Operating support - Large-scale IT systems for border management purposes,BMVI,BMVI,0.9015722379,8196941.12,9091829.56,,,,,,,,,,,,,,,,1.0,8196941.12,9091829.56,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,1 European integrated border management,1,European integrated border management,Intervention Field,SO1.022 Large-scale IT systems - (ETIAS) - Article 85(2) of Reg.,SO1.022,Large-scale IT systems - European Travel Information and Authorisation System (ETIAS) - Article 85(2) of Regulation (EU) 2018/1240,BMVI,BMVI,0.9015722379,18661796.57,20699169.5,,,,,,,,,,,,,,,,1.0,18661796.57,20699169.5,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,1 European integrated border management,1,European integrated border management,Intervention Field,SO1.012 Measures related to identification of vulnerable persons,SO1.012,Measures related to the identification and referral of vulnerable persons,BMVI,BMVI,0.9015722379,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
